cnpj_gestor,nome_gestor,nome_fundo,ativo,ativo_desc,cnpj_fundo
11.180.009/0001-48,KAPITALO INVESTIMENTOS LTDA,KAPITALO TARKUS MÁSTER FUNDO DE INVESTIMENTO EM AÇÕES,CYRE3,Obrigações por ações e outros TVM recebidos em empréstimo,28.747.676/0001-62
11.180.009/0001-48,KAPITALO INVESTIMENTOS LTDA,KAPITALO TARKUS MÁSTER FUNDO DE INVESTIMENTO EM AÇÕES,MRVE3,Obrigações por ações e outros TVM recebidos em empréstimo,28.747.676/0001-62
11.180.009/0001-48,KAPITALO INVESTIMENTOS LTDA,KAPITALO TARKUS MÁSTER FUNDO DE INVESTIMENTO EM AÇÕES,NTCO3,Obrigações por ações e outros TVM recebidos em empréstimo,28.747.676/0001-62
11.180.009/0001-48,KAPITALO INVESTIMENTOS LTDA,KAPITALO TARKUS MÁSTER FUNDO DE INVESTIMENTO EM AÇÕES,BRKM5,Obrigações por ações e outros TVM recebidos em empréstimo,28.747.676/0001-62
11.180.009/0001-48,KAPITALO INVESTIMENTOS LTDA,KAPITALO TARKUS MÁSTER FUNDO DE INVESTIMENTO EM AÇÕES,MGLU3,Obrigações por ações e outros TVM recebidos em empréstimo,28.747.676/0001-62
11.180.009/0001-48,KAPITALO INVESTIMENTOS LTDA,KAPITALO TARKUS MÁSTER FUNDO DE INVESTIMENTO EM AÇÕES,SBFG3,Obrigações por ações e outros TVM recebidos em empréstimo,28.747.676/0001-62
11.180.009/0001-48,KAPITALO INVESTIMENTOS LTDA,KAPITALO TARKUS MÁSTER FUNDO DE INVESTIMENTO EM AÇÕES,VIVA3,Obrigações por ações e outros TVM recebidos em empréstimo,28.747.676/0001-62
11.180.009/0001-48,KAPITALO INVESTIMENTOS LTDA,KAPITALO TARKUS MÁSTER FUNDO DE INVESTIMENTO EM AÇÕES,PETZ3,Obrigações por ações e outros TVM recebidos em empréstimo,28.747.676/0001-62
11.180.009/0001-48,KAPITALO INVESTIMENTOS LTDA,KAPITALO TARKUS MÁSTER FUNDO DE INVESTIMENTO EM AÇÕES,UGPA3,Obrigações por ações e outros TVM recebidos em empréstimo,28.747.676/0001-62
11.180.009/0001-48,KAPITALO INVESTIMENTOS LTDA,KAPITALO TARKUS MÁSTER FUNDO DE INVESTIMENTO EM AÇÕES,COGN3,Obrigações por ações e outros TVM recebidos em empréstimo,28.747.676/0001-62
11.180.009/0001-48,KAPITALO INVESTIMENTOS LTDA,KAPITALO TARKUS MÁSTER FUNDO DE INVESTIMENTO EM AÇÕES,ELET3,Obrigações por ações e outros TVM recebidos em empréstimo,28.747.676/0001-62
11.180.009/0001-48,KAPITALO INVESTIMENTOS LTDA,KAPITALO TARKUS MÁSTER FUNDO DE INVESTIMENTO EM AÇÕES,MYPK3,Obrigações por ações e outros TVM recebidos em empréstimo,28.747.676/0001-62
11.180.009/0001-48,KAPITALO INVESTIMENTOS LTDA,KAPITALO TARKUS MÁSTER FUNDO DE INVESTIMENTO EM AÇÕES,VAMO3,Obrigações por ações e outros TVM recebidos em empréstimo,28.747.676/0001-62
11.180.009/0001-48,KAPITALO INVESTIMENTOS LTDA,KAPITALO TARKUS MÁSTER FUNDO DE INVESTIMENTO EM AÇÕES,DIRR3,Obrigações por ações e outros TVM recebidos em empréstimo,28.747.676/0001-62
11.180.009/0001-48,KAPITALO INVESTIMENTOS LTDA,KAPITALO TARKUS MÁSTER FUNDO DE INVESTIMENTO EM AÇÕES,EZTC3,Obrigações por ações e outros TVM recebidos em empréstimo,28.747.676/0001-62
11.180.009/0001-48,KAPITALO INVESTIMENTOS LTDA,KAPITALO TARKUS MÁSTER FUNDO DE INVESTIMENTO EM AÇÕES,ABCB4,Obrigações por ações e outros TVM recebidos em empréstimo,28.747.676/0001-62
11.180.009/0001-48,KAPITALO INVESTIMENTOS LTDA,KAPITALO TARKUS MÁSTER FUNDO DE INVESTIMENTO EM AÇÕES,ARML3,Obrigações por ações e outros TVM recebidos em empréstimo,28.747.676/0001-62
11.180.009/0001-48,KAPITALO INVESTIMENTOS LTDA,KAPITALO TARKUS MÁSTER FUNDO DE INVESTIMENTO EM AÇÕES,ELET6,Obrigações por ações e outros TVM recebidos em empréstimo,28.747.676/0001-62
11.180.009/0001-48,KAPITALO INVESTIMENTOS LTDA,KAPITALO TARKUS MÁSTER FUNDO DE INVESTIMENTO EM AÇÕES,LJQQ3,Obrigações por ações e outros TVM recebidos em empréstimo,28.747.676/0001-62
11.180.009/0001-48,KAPITALO INVESTIMENTOS LTDA,KAPITALO TARKUS MÁSTER FUNDO DE INVESTIMENTO EM AÇÕES,HBSA3,Obrigações por ações e outros TVM recebidos em empréstimo,28.747.676/0001-62
11.180.009/0001-48,KAPITALO INVESTIMENTOS LTDA,KAPITALO TARKUS MÁSTER FUNDO DE INVESTIMENTO EM AÇÕES,TUPY3,Obrigações por ações e outros TVM recebidos em empréstimo,28.747.676/0001-62
