year,investor_name,investor,issuer_nationality_name,issuer_nationality,portfolio_share
2014,"Denmark","DNK","Argentina","ARG",.0125447
2014,"Denmark","DNK","Brazil","BRA",.0445473
2014,"Denmark","DNK","Colombia","COL",.0247736
2014,"Denmark","DNK","Croatia","HRV",.0101502
2014,"Denmark","DNK","Denmark","DNK",.3329577
2014,"Denmark","DNK","Dominican Republic","DOM",.0072988
2014,"Denmark","DNK","European Monetary Union","EMU",.0719627
2014,"Denmark","DNK","France","FRA",.0076122
2014,"Denmark","DNK","Germany","DEU",.0198216
2014,"Denmark","DNK","Hungary","HUN",.0223659
2014,"Denmark","DNK","Indonesia","IDN",.0313415
2014,"Denmark","DNK","Italy","ITA",.0116391
2014,"Denmark","DNK","Malaysia","MYS",.0180371
2014,"Denmark","DNK","Mexico","MEX",.0513471
2014,"Denmark","DNK","Panama","PAN",.0074248
2014,"Denmark","DNK","Peru","PER",.0142747
2014,"Denmark","DNK","Philippines","PHL",.0089218
2014,"Denmark","DNK","Poland","POL",.0224355
2014,"Denmark","DNK","Romania","ROU",.0110013
2014,"Denmark","DNK","Russian Federation","RUS",.0190734
2014,"Denmark","DNK","Slovenia","SVN",.0079214
2014,"Denmark","DNK","South Africa","ZAF",.0301792
2014,"Denmark","DNK","Spain","ESP",.0130976
2014,"Denmark","DNK","Sri Lanka","LKA",.0110852
2014,"Denmark","DNK","Thailand","THA",.014398
2014,"Denmark","DNK","Turkey","TUR",.0449478
2014,"Denmark","DNK","United Kingdom","GBR",.0212235
2014,"Denmark","DNK","United States","USA",.0517788
2014,"Denmark","DNK","Uruguay","URY",.0082221
2014,"Denmark","DNK","Venezuela, Bolivarian Republic of","VEN",.0086717
2014,"European Monetary Union","EMU","Australia","AUS",.0054928
2014,"European Monetary Union","EMU","Austria","AUT",.011905
2014,"European Monetary Union","EMU","Belgium","BEL",.0178672
2014,"European Monetary Union","EMU","Brazil","BRA",.0196654
2014,"European Monetary Union","EMU","Canada","CAN",.0064602
2014,"European Monetary Union","EMU","Colombia","COL",.0061885
2014,"European Monetary Union","EMU","Cyprus","CYP",.0007334
2014,"European Monetary Union","EMU","European Monetary Union","EMU",.6244335
2014,"European Monetary Union","EMU","Finland","FIN",.004406
2014,"European Monetary Union","EMU","France","FRA",.0724135
2014,"European Monetary Union","EMU","Germany","DEU",.0823045
2014,"European Monetary Union","EMU","Greece","GRC",.0030503
2014,"European Monetary Union","EMU","Hungary","HUN",.005841
2014,"European Monetary Union","EMU","Indonesia","IDN",.0114895
2014,"European Monetary Union","EMU","Ireland","IRL",.0095762
2014,"European Monetary Union","EMU","Italy","ITA",.2205788
2014,"European Monetary Union","EMU","Japan","JPN",.0120071
2014,"European Monetary Union","EMU","Korea, Republic of","KOR",.0046519
2014,"European Monetary Union","EMU","Latvia","LVA",.0007618
2014,"European Monetary Union","EMU","Luxembourg","LUX",.0002224
2014,"European Monetary Union","EMU","Malaysia","MYS",.0065195
2014,"European Monetary Union","EMU","Mexico","MEX",.0203127
2014,"European Monetary Union","EMU","Netherlands","NLD",.0208624
2014,"European Monetary Union","EMU","Poland","POL",.010723
2014,"European Monetary Union","EMU","Portugal","PRT",.0105775
2014,"European Monetary Union","EMU","Romania","ROU",.0048161
